image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestCleanupCompactedFileAfterFailover#testCleanupAfterFailoverWithCompactThreeTimes	5	0	 0	0	8.31	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMetricsRegionSourceImpl#testCompareToHashCodeEquals	5	0	 0	0	1.13	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testReverseScanner_FromMemStoreAndHFiles_MultiCFs2	5	0	 0	0	.45	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMinVersions#testStoreMemStore	5	0	 0	0	.32	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testReverseScanner_FromMemStoreAndHFiles_MultiCFs1	5	0	 0	0	.62	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMetricsHeapMemoryManager#testGauge	5	0	 0	0	.54	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestRegionServerNoMaster#testCancelOpeningWithoutZK	5	0	 0	0	.71	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMasterAddressTracker#testMasterAddressTrackerFromZK	5	0	 0	0	.43	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestRegionServerReportForDuty#testReportForDutyWithMasterChange	5	0	 0	0	30.56	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testBulkLoadReplicationEnabled	5	0	 0	0	.25	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestDateTieredCompactionPolicy#T1	5	0	 0	0	.14	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegionWithInMemoryFlush#testMutateRow_WriteRequestCount	5	0	 0	0	.32	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestCompactionWithCoprocessor#testCompactionSeqId	5	0	 0	0	.82	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testCellTTLs	5	0	 0	0	.63	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testBatchPut_whileMultipleRowLocksHeld	5	0	 0	0	.48	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegionInfo#testIsEnd	5	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testMemstoreSnapshotSize	5	0	 0	0	.24	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestSCVFWithMiniCluster#scanWithAllQualifiersOfBothFamilies	5	0	 0	0	.07	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegionWithInMemoryFlush#testPutWithTsSlop	5	0	 0	0	.28	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestMajorCompaction#testMajorCompactingToNoOutputWithReverseScan[1]	5	0	 0	0	22.54	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegionInfo#testConvert	5	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestRegionInfoBuilder#testContainsRange	5	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestCompactingMemStore#testReadOwnWritesUnderConcurrency	5	0	 0	0	1.21	
<img src="/images/skip.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestRegionServerHostname#	0	0	 0	5	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestNewVersionBehaviorFromClientSide#testDeleteFamily	5	0	 0	0	3.27	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegion#testFlushAndMemstoreSizeCounting	5	0	 0	0	2.10	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestFSErrorsExposed#testStoreFileScannerThrowsErrors	5	0	 0	0	2.41	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestRSChoresScheduled#testDefaultScheduledChores	5	0	 0	0	.10	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.replication.regionserver.TestReplicationSinkManager#testReportBadSink	5	0	 0	0	.19	
<img src="/images/passed.png" height="17" width="17">	org.apache.hadoop.hbase.regionserver.TestHRegionWithInMemoryFlush#testWriteRequestsCounter	5	0	 0	0	.30	
